geometry,site_name,other_site_names,state,industry,matrix_type,matrix,year,pfoa,pfos,pfoa_pfos,total_pfas,pfas_level,notes,regulation_gvt_link,resources_link,suspected_source_link,pfas_testing_link,site_ref_link,state_ref_link,ObjectId,longitude,latitude
POINT (-83.396437 42.6908),"General Motors Customer Care and Aftersales Facility, Waterford",,Michigan,Industry,Groundwater,Groundwater,2021.0,220,37,,,220.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/general-motors-ccaf,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/general-motors-ccaf,https://drive.google.com/file/d/1bUojjbxF_m5oyMOEaDDd6WB_8Oej9q8H/view?usp=share_link,https://drive.google.com/drive/folders/1HKwknjPTqEs1oUtG6xbPK7m5VuP8rZk1?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1149,-83.396437,42.6908
POINT (-83.281413 42.660476),GM LLC Pontiac North Campus,,Michigan,Industry,Groundwater,Groundwater,2022.0,22,440,455,,455.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/gm-lcc-pontiac-north-campus ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/gm-lcc-pontiac-north-campus,https://drive.google.com/file/d/16pGRo9oQJEy9Y-3BMWAHIJjzSQsznPqa/view?usp=share_link,https://drive.google.com/drive/folders/1_wXGi7arDxh6yu034uIAK8aIkwA9YRN3?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1150,-83.281413,42.660476
POINT (-83.878 43.606),GM Powertrain Bay City,,Michigan,Industry,Groundwater,Groundwater,2019.0,21,24,,,24.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/bay-county/gm-powertrain,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/bay-county/gm-powertrain,https://drive.google.com/file/d/1yyCAQKed60IpTXOP_bIp6R9KCNGMHphF/view?usp=share_link,https://drive.google.com/drive/folders/1pROMt3e2jCEMt4yBDxSQwqIGRhjZ50LV?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1151,-83.878,43.606
POINT (-90.135 46.525),Gogebic-Iron County Airport,,Michigan,Airport,Groundwater,Groundwater,2020.0,136,24,160,429.0,429.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gogebic-county/gogebic-iron-county-airport,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gogebic-county/gogebic-iron-county-airport,https://drive.google.com/file/d/1vWpVBTOFXBhCql2KDLJK42_i6vhm_ouQ/view?usp=share_link,https://drive.google.com/drive/folders/11efhfzsrr-Sz_kKZ9nuZAiSZgeqaKuvg?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1152,-90.135,46.525
POINT (-84.727719 44.680979),Grayling Army Airfield,,Michigan,AFFF,Groundwater,Groundwater,2020.0,70,502,521,906.0,906.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/grayling-army-airfield,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/grayling-army-airfield,https://drive.google.com/file/d/1hJPMFfmA8TREymNx5VvbpHMJc9LsUF6S/view?usp=share_link,https://drive.google.com/drive/folders/1D-Vrphg-gT3y8D84X6DiNj_AM9sIwLUe?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1153,-84.727719,44.680979
POINT (-84.677 44.639),Grayling Wastewater Treatment Facility Discharge Fields,,Michigan,WWTP,Groundwater,Groundwater,2022.0,47,59,,,59.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/grayling-wastewater-treatment-facility-discharge-fields,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/grayling-wastewater-treatment-facility-discharge-fields,https://drive.google.com/file/d/1wGkQ8NPj5BGl4pkuBn6_VqM5EaG6GMu6/view?usp=share_link,https://drive.google.com/drive/folders/1r25Hu78dYrfOOPBPUYPdJMh4JybXoPST?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1154,-84.677,44.639
POINT (-87.675 45.22),Great Lakes Pulp Company Landfill,GLPC,Michigan,Landfill,Groundwater,Groundwater,2020.0,1200,,,,1200.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/menominee-county/great-lakes-pulp-company-landfill,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/menominee-county/great-lakes-pulp-company-landfill,https://drive.google.com/file/d/1rxC1TxQhrqdZpSKPeBQ7fkn4Aie8jk8J/view?usp=share_link,https://drive.google.com/drive/folders/1EsrDXhDSAC7VOWFA6TfXdiz5aO98X4WJ?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1155,-87.675,45.22
POINT (-88.065 45.801),Grede LLC Iron Mountain,Grede Landfill,Michigan,Landfill,Groundwater,Groundwater,2022.0,8,,,,8.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/dickinson-county/grede-landfill,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/dickinson-county/grede-landfill,https://drive.google.com/file/d/1G8lS24nISFoxi8QZTbIijaKXHStsbv1U/view?usp=share_link,https://drive.google.com/drive/folders/1pA37wgciX7_ziqj3JMQkeq7V4OsGQXAL?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1156,-88.065,45.801
POINT (-83.825 42.458),Hamburg Township Wastewater Treatment Plant,Hamburg Wastewater Treatment Plant,Michigan,WWTP,Groundwater,Groundwater,2022.0,27,22,49,49.0,49.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/hamburg-township-wwtp,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/hamburg-township-wwtp,https://drive.google.com/file/d/123HOsBxIV47o_cQ5O2JA2KDQZVEXlzx7/view?usp=share_link,https://drive.google.com/drive/folders/1AclhOBRyREZjf0rOUr7QV77UGJI1iqom?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1157,-83.825,42.458
POINT (-86.258 46.003),Haywire Landfill,,Michigan,Landfill,Groundwater,Groundwater,2021.0,64,95,159,159.0,159.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/schoolcraft-county/haywire-landfill,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/schoolcraft-county/haywire-landfill,https://drive.google.com/file/d/1gzbHHZhS1XmELtiNwtWylxLJJkqhcgNg/view?usp=share_link,https://drive.google.com/drive/folders/1A6gGKkPPQ5lzr0LpwQ7DMEO-KfX9JAhW?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1158,-86.258,46.003
