geometry,site_name,other_site_names,state,industry,matrix_type,matrix,year,pfoa,pfos,pfoa_pfos,total_pfas,pfas_level,notes,regulation_gvt_link,resources_link,suspected_source_link,pfas_testing_link,site_ref_link,state_ref_link,ObjectId,longitude,latitude
POINT (-69.1964111 44.2153469),Union Chemical Co,,Maine,Industry,Groundwater,Groundwater,2017.0,270,72,342,,342.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,1,-69.1964111,44.2153469
POINT (-67.939506 47.1668725),Van Buren Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,21200,15800,37000,,37000.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,2,-67.939506,47.1668725
POINT (-69.607983 44.465096),Vassalboro Landfill,,Maine,Landfill,Other Water,Drinking Water,2019.0,1,,1,4.0,4.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,3,-69.607983,44.465096
POINT (-69.6136059 44.4494914),Vassalboro Sand Salt Storage Bld,,Maine,Industry,Other Water,Drinking Water,2019.0,1,,1,16.0,16.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,4,-69.6136059,44.4494914
POINT (-70.236796 44.504692),Verso Paper,,Maine,Industry,Solid,Sludge,2019.0,,,,81300.0,81300.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,5,-70.236796,44.504692
POINT (-70.2299523 43.8100852),Walnut Hill Road,,Maine,Unknown,Groundwater,Groundwater,2020.0,9,11,20,28.0,28.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,6,-70.2299523,43.8100852
POINT (-69.701564 44.524174),Waterville Landfill,,Maine,Landfill,Other Water,Drinking Water,2019.0,,,,0.0,0.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,7,-69.701564,44.524174
POINT (-70.3489 43.6929),Westbrook Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,1240,23000,24240,,24240.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,8,-70.3489,43.6929
POINT (-70.2131067 44.592831),Wilton Wastewater Treatment Plant,,Maine,WWTP,Solid,Compost,2019.0,2110,3430,5540,,5540.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,9,-70.2131067,44.592831
POINT (-68.84555 44.634776),Winterport Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,1600,2200,3800,,3800.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,10,-68.84555,44.634776
POINT (-69.987535 44.2761315),Winthrop Landfill,,Maine,Landfill,Groundwater,Groundwater,2018.0,137,56,193,216.0,216.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,11,-69.987535,44.2761315
POINT (-69.6614889 44.0049996),Wiscasset Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,3400,14000,17400,,17400.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,12,-69.6614889,44.0049996
POINT (-70.0711 43.8306),Wolf Neck Farm,,Maine,Unknown,Other Water,Drinking Water,2019.0,,,,1.0,1.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,13,-70.0711,43.8306
POINT (-68.3502919 44.2928459),Worcester Associates Landfill,,Maine,Landfill,Other Water,Drinking Water,2017.0,11,14,25,432.0,432.0,"""Behr concluded in 2002 that some compounds were leaching from the landfill into the neighboring wells. As a result of Behr’s conclusion, the MDEP installed water treatment systems on the affected wells.""
https://www.courts.maine.gov/opinions_orders/supreme/lawcourt/2014/14me42li.pdf",N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,14,-68.3502919,44.2928459
POINT (-70.1657 43.7909),Yarmouth Sludge Compost Site,,Maine,Waste,Solid,Compost,2019.0,3080,4360,7440,8167.0,8167.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,15,-70.1657,43.7909
POINT (-76.4261524 38.1479138),Webster Field Annex,,Maryland,Military,Other Water,Surface Water,2020.0,22,1544,1566,1894.0,1894.0,N/A,https://mde.maryland.gov/programs/Water/FishandShellfish/Pages/StMarys_PFAS.aspx,https://mde.maryland.gov/programs/Water/FishandShellfish/Pages/StMarys_PFAS.aspx,https://www.militarypoisons.org/webster-field.html,https://www.militarypoisons.org/uploads/1/0/3/6/10362012/pfas_in_st._inigoes_creek.pdf,N/A,https://drive.google.com/drive/u/1/folders/1bA0fTxac0RU2njTEx5JIcAWqZpYygC9D,16,-76.4261524,38.1479138
POINT (-70.0637506 41.2569516),Nantucket Memorial Airport,,Massachusetts,Airport,Groundwater,Groundwater,2019.0,,,20,,20.0,AFFF use Nantucket Memorial Airport,https://nantucket-ma.gov/1574/PFAS,https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas,https://www.capecodtimes.com/news/20200712/carcinogenic-chemicals-found-in-nantucket-well-water,https://www.ack-pfas.com/,N/A,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,17,-70.0637506,41.2569516
POINT (-82.9383497 42.4648541),A-W Custom Chrome,,Michigan,Industry,Groundwater,Groundwater,2018.0,,180,,,180.0,Electroplating discharge,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,18,-82.9383497,42.4648541
POINT (-83.0399402 42.5426527),A.G. Simpson,,Michigan,Industry,Groundwater,Groundwater,2018.0,,350,,,350.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,19,-83.0399402,42.5426527
POINT (-83.2922385 42.6877067),"Advanced Disposal Services Solid Waste Midwest, Inc",,Michigan,Industry,Groundwater,Groundwater,2019.0,170,49,219,,219.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,20,-83.2922385,42.6877067
POINT (-82.9136805 42.5218281),Aero Box,,Michigan,Industry,Groundwater,Groundwater,2018.0,40,,,,40.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,21,-82.9136805,42.5218281
POINT (-82.9663554 42.3652568),Aevitas Specialty Services Corp.,,Michigan,Industry,Groundwater,Groundwater,2018.0,10,70,80,,80.0,Centralized waste treatment,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,22,-82.9663554,42.3652568
POINT (-83.0697358 42.3663243),Arted Chrome Plating,,Michigan,Industry,Groundwater,Groundwater,2018.0,,69,,,69.0,Electroplating,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,23,-83.0697358,42.3663243
POINT (-82.9600695 42.5143165),Beacon Park Finishing,,Michigan,Industry,Groundwater,Groundwater,2018.0,4,50000,50004,,50004.0,Electroplating discharge,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,24,-82.9600695,42.5143165
POINT (-83.101294 42.5393092),Chor Industries,,Michigan,Industry,Groundwater,Groundwater,2018.0,,250,,,250.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,25,-83.101294,42.5393092
POINT (-83.4278337 42.3308111),Cintas Corporation,,Michigan,Industry,Groundwater,Groundwater,2018.0,,40,,,40.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,26,-83.4278337,42.3308111
POINT (-83.3669264 42.3774822),City of Livonia - Type III Landfill,,Michigan,Landfill,Groundwater,Groundwater,2018.0,50,100,150,,150.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,27,-83.3669264,42.3774822
POINT (-83.2908593 42.6879607),Collier Road Landfill,City of Pontiac,Michigan,Industry,Groundwater,Groundwater,2018.0,75,15,90,,90.0,N/A,N/A,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-535371--,00.html",https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,28,-83.2908593,42.6879607
POINT (-83.156106 42.3947373),Clean Earth of Michigan,,Michigan,Industry,Groundwater,Groundwater,2019.0,900,1600,2500,,2500.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,29,-83.156106,42.3947373
POINT (-83.1099807 42.5124897),Color Coat Plating Company,,Michigan,Industry,Groundwater,Groundwater,2018.0,,230,,,230.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,30,-83.1099807,42.5124897
POINT (-83.126266 42.553075),Controlled Power Company,,Michigan,Industry,Groundwater,Groundwater,2018.0,,20,,,20.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,31,-83.126266,42.553075
POINT (-83.072382 42.396032),Dana Container Tank Cleaning Division,,Michigan,Industry,Groundwater,Groundwater,2018.0,280,140,420,,420.0,Transportation equipment cleaning,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,32,-83.072382,42.396032
POINT (-82.9795567 42.6703102),Depor Industries (Metal Improvement Company),,Michigan,Industry,Groundwater,Groundwater,2018.0,20,,,,20.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,33,-82.9795567,42.6703102
POINT (-83.1627226 42.5525354),Depor Industries (Troy),,Michigan,Industry,Groundwater,Groundwater,2018.0,,9750,,,9750.0,Electroplating,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,34,-83.1627226,42.5525354
POINT (-83.1461328 42.3952497),"Detroit Chrome, Inc. dba DCI Aerotech",,Michigan,Industry,Groundwater,Groundwater,2019.0,19000,,,,19000.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,35,-83.1461328,42.3952497
POINT (-83.1693832 42.2646835),Detroit Diesel Corporation,,Michigan,Industry,Groundwater,Groundwater,2018.0,6,11,17,,17.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,36,-83.1693832,42.2646835
POINT (-83.0457538 42.331427),Detroit Metropolitan Wayne County Airport,,Michigan,Airport,Groundwater,Groundwater,2021.0,20000,730000,750000,1181780.0,1181780.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/detroit-metropolitan-wayne-county-airport,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/detroit-metropolitan-wayne-county-airport,https://drive.google.com/file/d/1vWfjFDN6LmVrNAGCKxWjgiyn4M_KxSMn/view?usp=share_link,https://drive.google.com/drive/folders/1i6ZOgLtuVMCWWJbyxGkkYw3OFS5UlEXp?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,37,-83.0457538,42.331427
POINT (-83.156106 42.3947373),Disposal and Recycling Technologies,,Michigan,Industry,Groundwater,Groundwater,2018.0,1790,530,2320,,2320.0,Centralized waste treatment,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,38,-83.156106,42.3947373
POINT (-83.0865494 42.3405137),Domestic Uniform Rental,,Michigan,Industry,Groundwater,Groundwater,2018.0,20,50,70,,70.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,39,-83.0865494,42.3405137
POINT (-83.0017667 42.3930949),Dynamic Metal Finishing,,Michigan,Industry,Groundwater,Groundwater,2018.0,,10,,,10.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,40,-83.0017667,42.3930949
POINT (-83.2735131 42.7004434),Dynamic Robotic Solutions,,Michigan,Industry,Groundwater,Groundwater,2018.0,2,,,,2.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,41,-83.2735131,42.7004434
POINT (-83.15731 42.3349148),EnviroSolids,,Michigan,Industry,Groundwater,Groundwater,2018.0,70,,,,70.0,Centralized waste treatment,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,42,-83.15731,42.3349148
POINT (-83.047276 42.3662446),EQ Detroit dba US Ecology,,Michigan,Industry,Groundwater,Groundwater,2018.0,60,650,710,,710.0,Centralized waste treatment,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,43,-83.047276,42.3662446
POINT (-83.3956099 42.2658547),EQ Resource Recovery,,Michigan,Industry,Groundwater,Groundwater,2018.0,130,240,370,,370.0,Centralized waste treatment,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,44,-83.3956099,42.2658547
POINT (-83.1986297 42.2862107),Ford Motor Company - Allen Park Clay Mine Landfill,,Michigan,Landfill,Groundwater,Groundwater,2019.0,50,160,210,,210.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,45,-83.1986297,42.2862107
POINT (-83.1563578 42.3083375),Ford Motor Company - Dearborn Truck Plant,,Michigan,Industry,Groundwater,Groundwater,2019.0,3,3,5,80.0,80.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,46,-83.1563578,42.3083375
POINT (-83.1980555 42.2884358),Ford Motor Company - New Model Program Development Center,,Michigan,Industry,Groundwater,Groundwater,2018.0,,10,,,10.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,47,-83.1980555,42.2884358
POINT (-83.0147366 42.4007308),G2O Energy,,Michigan,Industry,Groundwater,Groundwater,2018.0,,10,,,10.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,48,-83.0147366,42.4007308
POINT (-83.2606364 42.7162623),General Motors Orion Assembly,,Michigan,Industry,Groundwater,Groundwater,2018.0,,30,,,30.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,49,-83.2606364,42.7162623
POINT (-83.3563145 42.3800537),GST AuthoLeather,,Michigan,Industry,Groundwater,Groundwater,2018.0,20,,,,20.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,50,-83.3563145,42.3800537
POINT (-83.4151964 42.2665024),Hajjar Plating Services,,Michigan,Industry,Groundwater,Groundwater,2018.0,,370,,,370.0,Electroplating and metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,51,-83.4151964,42.2665024
POINT (-83.0863911 42.3674808),Henry Ford Hospital,,Michigan,Industry,Groundwater,Groundwater,2018.0,6,3,9,,9.0,N/A,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,52,-83.0863911,42.3674808
POINT (-83.0490588 42.5938605),Industrial Metal Coating,,Michigan,Industry,Groundwater,Groundwater,2018.0,50,,,,50.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,53,-83.0490588,42.5938605
POINT (-83.2450805 42.3786752),International Hardcoat,,Michigan,Industry,Groundwater,Groundwater,2018.0,,20,,,20.0,Metal finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,54,-83.2450805,42.3786752
POINT (-83.1915263 42.635632),Lear Corporation dba Eagle Ottawa,,Michigan,Industry,Groundwater,Groundwater,2018.0,43,14,57,,57.0,Leather tanning and finishing,N/A,https://www.michigan.gov/pfasresponse/,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,https://www.glwater.org/wp-content/uploads/2020/02/PFAS-Minimization-Program-Summary.pdf,N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,55,-83.1915263,42.635632
